pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,itl,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"ZE1 0AA","ZE1  0AA","ZE1 0AA","198001","","1","447759","1141280","1","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153222,-1.141595,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0AB","ZE1  0AB","ZE1 0AB","198001","","0","447819","1141255","1","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153000,-1.140527,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0AD","ZE1  0AD","ZE1 0AD","199210","","1","447759","1141280","1","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153222,-1.141595,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0AE","ZE1  0AE","ZE1 0AE","198001","","0","447793","1141217","1","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.152652,-1.140998,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0AF","ZE1  0AF","ZE1 0AF","198001","","0","447974","1141186","1","S00129054","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","5B3",60.152353,-1.137745,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0AG","ZE1  0AG","ZE1 0AG","198001","","0","447867","1141189","1","S00129055","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","7A1",60.152392,-1.139672,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0AH","ZE1  0AH","ZE1 0AH","198001","","0","447973","1141088","1","S00129052","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","1B1",60.151483,-1.137793,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0AJ","ZE1  0AJ","ZE1 0AJ","199305","","1","447782","1141262","1","S00129053","S99999999","S99999999","S12000027","S13002777","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012396","S02002324","S34002502","S03000037","S99999999","S99999999","5","7A1",60.153067,-1.141192,"S99999999","S99999999","S23000009",4698,"S99999999","S99999999"
"ZE1 0AL","ZE1  0AL","ZE1 0AL","198001","","0","447818","1141186","1","S00129055","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","7A1",60.152371,-1.140555,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
"ZE1 0AN","ZE1  0AN","ZE1 0AN","198001","","0","447966","1141213","1","S00129054","S99999999","S99999999","S12000027","S13002778","S08000026","S99999999","S92000003","S99999999","S14000051","S15000001","S09000003","S22000039","S03000037","S30000041","S99999999","S01012397","S02002324","S34002511","S03000037","S99999999","S99999999","5","5B3",60.152596,-1.137883,"S99999999","S99999999","S23000009",3795,"S99999999","S99999999"
